< 0, 0, 0 >
< 69.536, 0, 58.7859 >
< 68.6088, 0, 59.8951 >
< 68.6088, 0, 59.8951 >
< 68.6088, 0, 59.8951 >
< 65.8274, 0, 58.7859 >
< 64.9003, 0, 58.7859 >
< 62.1188, 0, 57.6768 >
< 60.2645, 0, 57.6768 >
< 59.3374, 0, 57.6768 >
< 59.3374, 0, 57.6768 >
< 59.3374, 0, 56.5676 >
< 59.3374, 0, 56.5676 >
< 59.3374, 0, 55.4584 >
< 54.7016, 0, 61.0043 >
< 54.7016, 0, 62.1135 >
< 54.7016, 0, 62.1135 >
< 52.8473, 0, 61.0043 >
< 52.8473, 0, 59.8951 >
< 52.8473, 0, 58.7859 >
< 52.8473, 0, 58.7859 >
< 54.7016, 0, 57.6768 >
< 54.7016, 0, 56.5676 >
< 54.7016, 0, 55.4584 >
< 54.7016, 0, 55.4584 >
< 54.7016, 0, 54.3493 >
< 54.7016, 0, 54.3493 >
< 54.7016, 0, 53.2401 >
< 54.7016, 0, 53.2401 >
< 52.8473, 0, 52.1309 >
< 52.8473, 0, 51.0218 >
< 52.8473, 0, 49.9126 >
< 52.8473, 0, 49.9126 >
< 54.7016, 0, 49.9126 >
< 54.7016, 0, 48.8034 >
< 56.5559, 0, 48.8034 >
< 56.5559, 0, 46.5851 >
< 56.5559, 0, 46.5851 >
< 56.5559, 0, 45.4759 >
< 56.5559, 0, 44.3667 >
< 58.4102, 0, 44.3667 >
< 56.5559, 0, 43.2576 >
< 56.5559, 0, 42.1484 >
< 56.5559, 0, 42.1484 >
< 56.5559, 0, 42.1484 >
< 56.5559, 0, 42.1484 >
< 56.5559, 0, 42.1484 >
< 54.7016, 0, 42.1484 >
< 54.7016, 0, 41.0392 >
< 54.7016, 0, 41.0392 >
< 54.7016, 0, 39.9301 >
< 54.7016, 0, 39.9301 >
< 54.7016, 0, 39.9301 >
< 54.7016, 0, 39.9301 >
< 54.7016, 0, 39.9301 >
< 56.5559, 0, 38.8209 >
< 56.5559, 0, 38.8209 >
< 56.5559, 0, 38.8209 >
< 56.5559, 0, 38.8209 >
< 56.5559, 0, 38.8209 >
< 56.5559, 0, 38.8209 >
< 54.7016, 0, 38.8209 >
< 56.5559, 0, 38.8209 >
< 54.7016, 0, 38.8209 >
< 56.5559, 0, 39.9301 >
< 56.5559, 0, 41.0392 >
< 54.7016, 0, 41.0392 >
< 54.7016, 0, 41.0392 >
< 52.8473, 0, 42.1484 >
< 52.8473, 0, 42.1484 >
< 52.8473, 0, 43.2576 >
< 52.8473, 0, 44.3667 >
< 52.8473, 0, 44.3667 >
< 52.8473, 0, 44.3667 >
< 52.8473, 0, 45.4759 >
< 52.8473, 0, 45.4759 >
< 52.8473, 0, 45.4759 >
< 54.7016, 0, 46.5851 >
< 54.7016, 0, 46.5851 >
< 54.7016, 0, 46.5851 >
< 54.7016, 0, 46.5851 >
< 54.7016, 0, 47.6943 >
< 54.7016, 0, 48.8034 >
< 54.7016, 0, 48.8034 >
< 54.7016, 0, 48.8034 >
< 54.7016, 0, 49.9126 >
< 54.7016, 0, 49.9126 >
< 54.7016, 0, 51.0218 >
< 54.7016, 0, 53.2401 >
< 54.7016, 0, 53.2401 >
< 56.5559, 0, 54.3493 >
< 56.5559, 0, 54.3493 >
< 56.5559, 0, 55.4584 >
< 56.5559, 0, 56.5676 >
< 56.5559, 0, 57.6768 >
< 56.5559, 0, 57.6768 >
< 58.4102, 0, 57.6768 >
< 58.4102, 0, 59.8951 >
< 59.3374, 0, 59.8951 >
< 59.3374, 0, 61.0043 >
< 60.2645, 0, 61.0043 >
< 60.2645, 0, 62.1135 >
< 60.2645, 0, 62.1135 >
< 62.1188, 0, 63.2226 >
< 62.1188, 0, 63.2226 >
< 62.1188, 0, 64.3318 >
< 62.1188, 0, 64.3318 >
< 63.046, 0, 65.441 >
< 63.046, 0, 65.441 >
< 62.1188, 0, 70.9868 >
< 60.2645, 0, 70.9868 >
< 60.2645, 0, 69.8776 >
< 60.2645, 0, 69.8776 >
< 60.2645, 0, 68.7685 >
< 60.2645, 0, 68.7685 >
< 60.2645, 0, 67.6593 >
< 62.1188, 0, 67.6593 >
< 62.1188, 0, 66.5501 >
< 62.1188, 0, 66.5501 >
< 63.046, 0, 66.5501 >
< 63.046, 0, 65.441 >
< 64.9003, 0, 64.3318 >
< 64.9003, 0, 64.3318 >
< 65.8274, 0, 63.2226 >
< 65.8274, 0, 63.2226 >
< 66.7545, 0, 62.1135 >
< 68.6088, 0, 62.1135 >
< 68.6088, 0, 61.0043 >
< 69.536, 0, 61.0043 >
< 70.4631, 0, 61.0043 >
< 70.4631, 0, 61.0043 >
< 72.3174, 0, 61.0043 >
< 72.3174, 0, 61.0043 >
< 73.2446, 0, 61.0043 >
< 73.2446, 0, 61.0043 >
< 73.2446, 0, 61.0043 >
< 75.0989, 0, 62.1135 >
< 75.0989, 0, 62.1135 >
< 75.0989, 0, 63.2226 >
< 75.0989, 0, 63.2226 >
< 75.0989, 0, 63.2226 >
< 75.0989, 0, 64.3318 >
< 75.0989, 0, 64.3318 >
< 75.0989, 0, 64.3318 >
< 75.0989, 0, 64.3318 >
< 75.0989, 0, 65.441 >
< 75.0989, 0, 65.441 >
< 75.0989, 0, 65.441 >
< 75.0989, 0, 65.441 >
< 75.0989, 0, 66.5501 >
< 75.0989, 0, 66.5501 >
< 73.2446, 0, 66.5501 >
< 73.2446, 0, 68.7685 >
< 73.2446, 0, 69.8776 >
< 72.3174, 0, 69.8776 >
< 70.4631, 0, 69.8776 >
< 69.536, 0, 69.8776 >
< 69.536, 0, 69.8776 >
< 68.6088, 0, 69.8776 >
< 68.6088, 0, 69.8776 >
< 68.6088, 0, 69.8776 >
< 68.6088, 0, 68.7685 >
< 68.6088, 0, 68.7685 >
< 69.536, 0, 67.6593 >
< 69.536, 0, 67.6593 >
< 69.536, 0, 66.5501 >
< 69.536, 0, 66.5501 >
< 70.4631, 0, 65.441 >
< 70.4631, 0, 65.441 >
< 70.4631, 0, 64.3318 >
< 70.4631, 0, 64.3318 >
< 70.4631, 0, 63.2226 >
< 72.3174, 0, 63.2226 >
< 72.3174, 0, 63.2226 >
< 72.3174, 0, 63.2226 >
< 72.3174, 0, 63.2226 >
< 72.3174, 0, 63.2226 >
< 73.2446, 0, 62.1135 >
< 73.2446, 0, 62.1135 >
< 73.2446, 0, 62.1135 >
< 73.2446, 0, 62.1135 >
< 72.3174, 0, 63.2226 >
< 72.3174, 0, 63.2226 >
< 72.3174, 0, 63.2226 >
< 72.3174, 0, 63.2226 >
< 72.3174, 0, 63.2226 >
< 72.3174, 0, 63.2226 >
< 72.3174, 0, 62.1135 >
< 72.3174, 0, 62.1135 >
< 72.3174, 0, 62.1135 >
< 72.3174, 0, 62.1135 >
< 70.4631, 0, 62.1135 >
< 69.536, 0, 62.1135 >
< 66.7545, 0, 61.0043 >
< 66.7545, 0, 61.0043 >
< 65.8274, 0, 58.7859 >
< 65.8274, 0, 58.7859 >
< 64.9003, 0, 57.6768 >
< 63.046, 0, 56.5676 >
< 63.046, 0, 55.4584 >
< 62.1188, 0, 55.4584 >
< 62.1188, 0, 54.3493 >
< 60.2645, 0, 53.2401 >
< 60.2645, 0, 52.1309 >
< 56.5559, 0, 51.0218 >
< 56.5559, 0, 51.0218 >
< 56.5559, 0, 51.0218 >
< 56.5559, 0, 53.2401 >
< 56.5559, 0, 54.3493 >
< 56.5559, 0, 55.4584 >
< 56.5559, 0, 55.4584 >
< 54.7016, 0, 55.4584 >
< 54.7016, 0, 55.4584 >
< 52.8473, 0, 55.4584 >
< 52.8473, 0, 55.4584 >
< 52.8473, 0, 55.4584 >
< 54.7016, 0, 55.4584 >
< 54.7016, 0, 56.5676 >
< 54.7016, 0, 56.5676 >
< 52.8473, 0, 55.4584 >
< 52.8473, 0, 55.4584 >
< 52.8473, 0, 55.4584 >
< 52.8473, 0, 55.4584 >
< 52.8473, 0, 54.3493 >
< 54.7016, 0, 56.5676 >
< 56.5559, 0, 59.8951 >
< 56.5559, 0, 58.7859 >
< 58.4102, 0, 57.6768 >
< 58.4102, 0, 56.5676 >
< 58.4102, 0, 55.4584 >
< 59.3374, 0, 54.3493 >
< 59.3374, 0, 53.2401 >
< 59.3374, 0, 51.0218 >
< 59.3374, 0, 51.0218 >
< 60.2645, 0, 53.2401 >
< 62.1188, 0, 56.5676 >
